time(sec),x,z
5.936748,4.763347,-3.78224
6.031428,4.088612,-3.736732
6.115595,3.663692,-3.765734
6.201748,3.175975,-3.88575
6.283169,2.770262,-3.922704
6.365289,2.485702,-4.297314
6.442195,2.128064,-4.476424
6.519872,1.859819,-4.610715
6.598667,1.502158,-4.789819
6.678032,1.169246,-5.015926
6.76237,0.6347201,-5.038755
6.921199,-0.0102216,-4.157248
7.00468,-0.1924575,-3.73037
7.083402,0.07260156,-3.499958
7.106132,0.1400579,-3.457725
7.163347,0.2012601,-3.423869
7.236958,0.3599315,-3.353556
7.309766,0.6518377,-3.280505
7.381076,0.8442207,-3.267727
7.452237,0.9044977,-3.269253
7.520052,0.9309871,-3.270757
7.5873,0.9309871,-3.270757
7.655391,0.9333937,-3.270919
7.732664,0.9814559,-3.275039
7.799209,1.069871,-3.287072
7.870345,1.091246,-3.29086
7.940557,1.119649,-3.296432
8.008322,0.9141335,-3.269741
8.077901,0.9141335,-3.269741
8.145391,0.9141335,-3.269741
8.213243,0.9141335,-3.269741
8.28192,0.9141335,-3.269741
8.348611,0.9141335,-3.269741
8.419121,0.9382061,-3.271255
8.489552,1.081753,-3.289135
8.560184,1.394889,-3.384273
8.628254,1.532485,-3.454079
8.698561,1.540815,-3.458947
8.767665,1.861567,-3.719615
8.838988,2.058496,-3.99878
8.905681,2.058496,-3.99878
8.974022,2.058496,-3.99878
9.044528,2.058496,-3.99878
9.114223,2.058496,-3.99878
9.18453,2.058496,-3.99878
9.255077,2.066358,-4.013722
9.329808,2.067466,-4.015864
9.399977,2.022758,-3.935869
9.471385,1.965903,-3.849152
9.544653,1.961696,-3.843264
9.614673,1.95319,-3.831556
9.686514,1.95176,-3.829613
9.756939,1.95176,-3.829613
9.828584,1.928427,-3.798874
9.89674,1.858314,-3.716053
9.970051,2.145039,-3.436961
10.10685,2.681318,-2.986362
10.17358,2.907626,-2.789459
10.2417,3.207745,-2.52517
10.26039,3.282756,-2.459039
10.31066,3.432778,-2.326777
10.3772,3.657852,-2.128561
10.44927,3.957894,-1.864033
10.51797,4.182927,-1.66564
10.58626,4.448256,-1.388512
10.65554,4.671543,-1.189512
10.72709,4.971587,-0.9249873
10.79771,5.19662,-0.7265937
10.87222,5.496665,-0.462069
10.93739,5.721698,-0.2636755
11.07564,6.300637,0.1342518
11.14568,6.822754,0.008225918
11.21676,6.882823,-0.7303061
11.23425,6.819391,-0.9552211
11.28609,6.249905,-1.646063
11.3562,5.281025,-1.829134
11.42594,4.824338,-1.659747
11.50228,4.495509,-1.390124
11.57769,4.427876,-1.30837
11.65938,4.536669,-1.434186
11.73805,4.536669,-1.434186
11.81866,4.536669,-1.434186
11.89861,4.536669,-1.434186
11.98218,4.533306,-1.430728
12.06778,4.478015,-1.370176
12.15076,4.429342,-1.310284
12.23498,4.414826,-1.291021
12.31501,4.417702,-1.294894
